"";"AB"
"LEES B, 2020, BMC PUBLIC HEALTH";"BACKGROUNDSCREEN MEDIA IS AMONG THE MOST COMMON RECREATIONAL ACTIVITIES ENGAGED IN BY CHILDREN. THE DISPLACEMENT HYPOTHESIS PREDICTS THAT INCREASED TIME SPENT ON SCREEN MEDIA ACTIVITY (SMA) MAY BE AT THE EXPENSE OF ENGAGEMENT WITH OTHER RECREATIONAL ACTIVITIES, SUCH AS SPORT, MUSIC, AND ART. THIS STUDY EXAMINED ASSOCIATIONS BETWEEN NON-EDUCATIONAL SMA AND RECREATIONAL ACTIVITY ENDORSEMENT IN 9-10-YEAR-OLDS, WHEN ACCOUNTING FOR OTHER INDIVIDUAL (I.E., COGNITION, PSYCHOPATHOLOGY), INTERPERSONAL (I.E., SOCIAL ENVIRONMENT), AND SOCIODEMOGRAPHIC CHARACTERISTICS.METHODSPARTICIPANTS WERE 9254 YOUTH FROM THE ADOLESCENT BRAIN COGNITIVE DEVELOPMENT STUDY (R). LATENT FACTORS REFLECTING SMA, COGNITION, PSYCHOPATHOLOGY, AND SOCIAL ENVIRONMENT WERE ENTERED AS INDEPENDENT VARIABLES INTO LOGISTIC MIXED MODELS. SOCIODEMOGRAPHIC COVARIATES INCLUDED AGE, SEX, RACE/ETHNICITY, EDUCATION, MARITAL STATUS, AND HOUSEHOLD INCOME. OUTCOME VARIABLES INCLUDED ANY RECREATIONAL ACTIVITY ENDORSEMENT (OF 19 ASSESSED), AND SPECIFIC SPORT (SWIMMING, SOCCER, BASEBALL) AND HOBBY (MUSIC, ART) ENDORSEMENTS.RESULTSIN UNADJUSTED GROUPWISE COMPARISONS, YOUTH WHO SPENT MORE TIME ENGAGING WITH SMA WERE LESS LIKELY TO ENGAGE WITH OTHER RECREATIONAL ACTIVITIES (PS<.001). HOWEVER, WHEN VARIANCE IN COGNITION, PSYCHOPATHOLOGY, SOCIAL ENVIRONMENT, AND SOCIODEMOGRAPHIC COVARIATES WERE ACCOUNTED FOR, MOST FORMS OF SMA WERE NO LONGER SIGNIFICANTLY ASSOCIATED WITH RECREATIONAL ACTIVITY ENGAGEMENT (P>.05). SOME MARGINAL EFFECTS WERE OBSERVED: FOR EVERY ONE SD INCREASE IN TIME SPENT ON GAMES AND MOVIES OVER MORE SOCIAL FORMS OF MEDIA, YOUTH WERE AT LOWER ODDS OF ENGAGING IN RECREATIONAL ACTIVITIES (ADJUSTED ODDS RATIO=0.83, 95\% CI 0.76-0.89). LIKEWISE, GREATER GENERAL SMA WAS ASSOCIATED WITH LOWER ODDS OF ENDORSING GROUP-BASED SPORTS, INCLUDING SOCCER (0.93, 0.88-0.98) AND BASEBALL (0.92, 0.86-0.98). MODEL FIT COMPARISONS INDICATED THAT SOCIODEMOGRAPHIC CHARACTERISTICS, PARTICULARLY SOCIO-ECONOMIC STATUS, EXPLAINED MORE VARIANCE IN RATES OF RECREATIONAL ACTIVITY ENGAGEMENT THAN SMA AND OTHER LATENT FACTORS. NOTABLY, YOUTH FROM HIGHER SOCIO-ECONOMIC FAMILIES WERE UP TO 5.63 (3.83-8.29) TIMES MORE LIKELY TO ENGAGE IN RECREATIONAL ACTIVITIES THAN YOUTH FROM LOWER SOCIO-ECONOMIC BACKGROUNDS.CONCLUSIONSRESULTS DID NOT SUGGEST THAT SMA LARGELY DISPLACES ENGAGEMENT IN OTHER RECREATIONAL ACTIVITIES AMONG 9-10-YEAR-OLDS. INSTEAD, SOCIO-ECONOMIC FACTORS GREATLY CONTRIBUTE TO RATES OF ENGAGEMENT. THESE FINDINGS ARE IMPORTANT CONSIDERING RECENT SHIFTS IN TIME SPENT ON SMA IN CHILDHOOD."
"FACCIA A, 2020, SUSTAINABILITY";"ALL SPORTS HAVE THEIR ROOTS AND CONNECTION IN SOME WAY TO THE OLYMPIC SPIRIT, AND THEREFORE FALL WITHIN THE VISION AND MISSION OF THE OLYMPIC COMMITTEE, WHICH HAS A CENTRAL AIM OF ``BUILDING A BETTER WORLD''. THIS IS A FUNDAMENTAL VALUE OF THE OLYMPICS AND SUSTAINABILITY IS A ``WORKING PRINCIPLE'' OF THIS. THIS RESEARCH ANALYSES THE PERFORMANCE OF PROFESSIONAL EUROPEAN FOOTBALL TEAMS THAT ARE PUBLICLY LISTED ON STOCK MARKETS, ANALYSING THEIR INCOME STATEMENTS AND FACTORING IN HOW THE VALUE-ADDED PERSPECTIVE IS IMPACTING PROFESSIONAL SPORT. THE METHODOLOGY WE USE CONSIDERS THE SUSTAINABLE CONTRIBUTION OF THE DISTRIBUTION OF ADDED VALUE. THE VALUE-ADDED STATEMENT IS CONSIDERED AS A PART OF BROADER CORPORATE SOCIAL RESPONSIBILITY (CSR), WHICH CAN BE TRACED BACK AS A CONCEPT TO THE LATE 1970S. IT IS STILL IN WIDESPREAD USE AND IS REGARDED AS BEING BOTH A CREDIBLE AND A TESTED MEASURE. IN THIS PAPER, THE AUTHORS APPLY A SLIGHTLY MODIFIED AND SIMPLIFIED VERSION OF THIS VALUE-ADDED APPROACH TO ALL PUBLICLY LISTED EUROPEAN FOOTBALL CLUBS AND USE THESE AS A PROXY FOR WIDER PROFESSIONAL SPORT. THIS RESEARCH DEMONSTRATES THAT, ALTHOUGH MOST PROFESSIONAL SPORTS CLUBS ARE PROFIT-ORIENTED, THE DISTRIBUTION OF WEALTH GENERATED BY THE ADDED VALUE IS UNBALANCED. IN MOST CASES, AT LEAST IN FINANCIAL TERMS, THE DATA SHOWS SHAREHOLDERS ARE THE MOST DISADVANTAGED, WHEREAS ATHLETES ARE THE MOST REWARDED."
"GONER D, 2020, EUR J OPER RES";"BALANCING THE ALLOCATION OF GAMES IN SPORTS COMPETITIONS IS AN IMPORTANT ORGANIZATIONAL TASK THAT CAN HAVE SERIOUS FINANCIAL CONSEQUENCES. IN THIS PAPER, WE EXAMINE DATA FROM 10,142 SOCCER GAMES PLAYED IN THE TOP GERMAN, SPANISH, FRENCH, AND ENGLISH SOCCER LEAGUES BETWEEN 2007/2008 AND 2016/2017. USING A MACHINE LEARNING TECHNIQUE FOR VARIABLE SELECTION AND APPLYING A SEMI-PARAMETRIC ANALYSIS OF RADIUS MATCHING ON THE PROPENSITY SCORE, WE FIND THAT ALL FOUR LEAGUES HAVE A LOWER ATTENDANCE IN GAMES THAT TAKE PLACE ON FOUR NON-FREQUENTLY PLAYED DAYS THAN THOSE ON THREE FREQUENTLY PLAYED DAYS. WE ALSO FIND THAT, IN ALL LEAGUES, THERE IS A SIGNIFICANTLY LOWER HOME ADVANTAGE FOR THE UNDERDOG TEAMS ON NON-FREQUENT DAYS. OUR FINDINGS SUGGEST THAT THE CURRENT SCHEDULE FAVORS UNDERDOG TEAMS WITH FEWER HOME GAMES ON NON-FREQUENT DAYS. THEREFORE, TO INCREASE THE FAIRNESS OF THE COMPETITIONS, IT IS NECESSARY TO ADJUST THE ALLOCATION OF THE HOME GAMES ON NON-FREQUENT DAYS IN A WAY THAT ELIMINATES ANY ADVANTAGE DRIVEN BY THE SCHEDULE. THESE FINDINGS HAVE IMPLICATIONS FOR THE STAKEHOLDERS OF THE LEAGUES, REFEREES' AND CALENDAR COMMITTEES AS WELL AS FOR COACHES AND PLAYERS. (C) 2020 ELSEVIER B.V. ALL RIGHTS RESERVED."
"ZUELCH H, 2020, SPORT BUS MANAG";"PURPOSE THIS STUDY DERIVES A NEW FRAMEWORK THAT COMPREHENSIVELY ASSESSES MANAGEMENT QUALITY ALONG FOUR DIMENSIONS, NAMELY SPORTING SUCCESS; FINANCIAL PERFORMANCE; FAN WELFARE MAXIMIZATION; AND LEADERSHIP AND GOVERNANCE. FILLED WITH MEASURABLE KEY PERFORMANCE INDICATORS (KPIS), THESE DIMENSIONS SERVE THE PURPOSE OF OBJECTIVELY QUANTIFYING THE RELEVANT SUCCESS FACTORS. ULTIMATELY, THE PERFORMANCE IN ALL DIMENSIONS INDICATES A FOOTBALL CLUB'S MANAGEMENT QUALITY. DESIGN/METHODOLOGY/APPROACH THE STUDY RELIES FIRST ON A REVIEW OF THE LITERATURE IN THE FIELD OF BOTH GENERAL MANAGEMENT AND SPORTS. SECOND, THE AUTHORS ADAPT THE BALANCED SCORECARD FRAMEWORK TO THE FIELD OF PROFESSIONAL FOOTBALL AND USE A SET OF KPIS TO ASSESS THE MANAGEMENT QUALITY OF THE BUNDESLIGA TEAMS OVER THE SEASONS 2016/17 AND 2017/18. THIRD, THE AUTHORS VALIDATE THE RELATIVE WEIGHTS OF THE FOUR DIMENSIONS COMPOSING THE SO-CALLED ``FOOTBALL MANAGEMENT QUALITY SCORE'' (I.E. FOMA Q-SCORE) USING EXPERT INTERVIEWS. FINDINGS TWO MOVEMENTS CHARACTERIZE THE SCORE DEVELOPMENT IN 2017/18 COMPARED TO 2016/17: FIRST, SCORES APPEAR MORE CONTRACTED THAN PREVIOUSLY. SECOND, BOTH AVERAGE AND MEDIAN SCORES IMPROVED, SUGGESTING A GENERAL IMPROVEMENT IN THE MANAGEMENT QUALITY WITHIN THE BUNDESLIGA. ORIGINALITY/VALUE TO THE BEST OF THE AUTHORS' KNOWLEDGE, THIS IS THE FIRST EXPLORATORY STUDY DERIVING AND MEASURING RELEVANT KEY CRITERIA FOR MANAGING FOOTBALL CLUBS AND ILLUSTRATING THE FINDINGS IN A RANKING. THE AIM OF THIS STUDY IS TO ESTABLISH A MODEL THAT IMPACTS BOTH ACADEMIA AND PRACTICE. BY UTILIZING EXISTING MANAGEMENT LITERATURE AND ADJUSTING IT TO FOOTBALL PARTICULARITIES, THE NEWFOUND KNOWLEDGE BEGINS TO CLOSE THE GAP IN SPORT MANAGEMENT LITERATURE."
"PRIGGE S, 2020, SPORT BUS MANAG";"PURPOSE THE AIMS OF THE RESEARCH ARE TWOFOLD: (1) EXPLORING WHETHER FOOTBALL CLUB STOCKS CAN BE CONSIDERED AN ASSET CLASS OF THEIR OWN; (2) INVESTIGATING WHETHER FOOTBALL STOCKS ENABLE WELL-DIVERSIFIED INVESTORS TO ACHIEVE MORE EFFICIENT RISK-RETURN COMBINATIONS. DESIGN/METHODOLOGY/APPROACH USING EFFICIENT FRONTIER OPTIMIZATION, A BASE PORTFOLIO, WITH STANDARD STOCKS AND BONDS, AND A CORRESPONDING ENHANCED PORTFOLIO, WHICH INCLUDES FOOTBALL STOCKS IN THE INVESTMENT OPPORTUNITY SET, ARE DEFINED. THIS PROCEDURE IS APPLIED TO FOUR PORTFOLIO COMPOSITION RULES. PAIRWISE COMPARISONS OF PORTFOLIO SHARPE RATIOS INCLUDE A TEST FOR STATISTICAL SIGNIFICANCE. FINDINGS THE RESULTS INDICATE A LOW CORRELATION OF FOOTBALL STOCKS AND STANDARD STOCKS; THUS, FOOTBALL STOCKS COULD BE CONSIDERED AN ASSET CLASS OF THEIR OWN. NEVERTHELESS, THE ADDITION OF FOOTBALL STOCKS TO A WELL-DIVERSIFIED PORTFOLIO DOES NOT IMPROVE ITS RISK-RETURN EFFICIENCY BECAUSE THE WEAK PERFORMANCE OF FOOTBALL STOCKS ELIMINATES THEIR ADVANTAGE OF LOW CORRELATION. RESEARCH LIMITATIONS/IMPLICATIONS THIS STUDY CONTRIBUTES TO THE EVIDENCE THAT INVESTMENTS IN FOOTBALL ARE DIFFERENT FROM `ORDINARY' INVESTMENTS AND NEED FURTHER RESEARCH, PARTICULARLY INTO MARKET PARTICIPANTS AND THEIR INVESTMENT MOTIVES. PRACTICAL IMPLICATIONS FOOTBALL STOCKS ARE NOT ATTRACTIVE TO PURE FINANCIAL INVESTORS. THUS, FOOTBALL CLUBS NEED TO KNOW MORE ABOUT WHICH SIDE BENEFITS ARE APPRECIATED BY WHICH KIND OF INVESTOR AND HOW MUCH IT COSTS TO PRODUCE THESE SIDE BENEFITS. ORIGINALITY/VALUE TO THE BEST OF AUTHORS' KNOWLEDGE, THIS IS THE FIRST STUDY TO ANALYSE THE RISK-RETURN EFFICIENCY OF FOOTBALL STOCKS FROM THE PERSPECTIVE OF A PURE FINANCIAL INVESTOR, I.E. AN INVESTOR IN FOOTBALL STOCKS WHO DOES NOT EARN SIDE BENEFITS, SUCH AS STRATEGIC INVESTORS OR FAN INVESTORS."
"SOTI A, 2020, SOC NETW ANAL MIN";"THE INTERRELATION BETWEEN THE FLUCTUATIONS OF STOCK PRICES OF FOOTBALL CLUBS AND THE SOCIAL MEDIA ACTIVITY OF THEIR FANS IS OF MAJOR ECONOMIC INTEREST. THE RESULTS IN THIS RESEARCH PROVIDE MEASURABLE SUPPORT FOR THE SUGGESTION THAT FINANCIAL MARKET ACTIVITIES AND THE NUMBER OF TWEETS ARE LINKED IN THE CASE OF BIG FOOTBALL CLUBS. THE NOVELTY OF THE RESEARCH IS TO SHOW WHICH DAILY RATIO OF TWEET COUNTS AND THEIR MOOD CAN PREDICT THE STOCK MARKET. BASED ON THESE FINDINGS, SPORT MANAGERS COULD USE SOCIAL MEDIA STRATEGICALLY TO BUILD BETTER RELATIONSHIPS WITH CONSUMERS AND STAKEHOLDERS."
"MCGRANE A, 2020, AM J MENS HEALTH";"THIS QUALITATIVE RESEARCH SOUGHT TO ESTABLISH THE IMPACT OF AN 8-WEEK PROGRAM COMBINING FOOTBALL AND ONE-TO-ONE PSYCHOTHERAPY ON YOUNG MALES' MENTAL HEALTH, DETERMINING THE FACTORS THAT PREDICT HELP-SEEKING BEHAVIORS IN THIS GROUP OF MEN. PRE- AND POST-PARTICIPATION FOCUS GROUPS WERE USED AS THE METHOD OF DATA COLLECTION. SIX MALES (19-35 YEARS OLD;M= 25.5) COMPLETED BOTH PRE-INTERVENTION AND FOLLOW-UP FOCUS GROUPS. HELP-SEEKING BEHAVIORS WERE INFLUENCED BY THE APPEAL OF FOOTBALL AND THE PERCEPTION OF THE COUNSELOR BEING ACCESSIBLE. BARRIERS INCLUDED GENDER NORMS, SOCIALIZATION, FINANCIAL DIFFICULTIES, AND CHALLENGING SOCIAL LANDSCAPES. POST-PARTICIPATION FOCUS GROUPS REVEALED THAT POSITIVE SOCIAL AND COUNSELING RELATIONSHIPS FACILITATED IMPROVED MENTAL HEALTH. SPORT WAS DEEMED AN ACCEPTABLE MEDIUM TO DELIVER A MENTAL HEALTH INTERVENTION AS IT INCREASED SOCIAL CONNECTIONS AND FACILITATED HELP-SEEKING. FINDINGS SUPPORT PREVIOUS RESEARCH INDICATING THAT COMBINING SPORTS AND PSYCHOTHERAPY POSITIVELY IMPACTS YOUNG MALES' MENTAL HEALTH."
"LOWERY B, 2020, J QUANT ANAL SPORTS";"IN THIS PAPER, WE PRESENT A NEW MODEL FOR RANKING SPORTS TEAMS. OUR MODEL USES ALL SCORING DATA FROM ALL GAMES TO PRODUCE A FUNCTIONAL RATING BY THE METHOD OF LEAST SQUARES. THE FUNCTIONAL RATING CAN BE INTERPRETED AS A TEAM AVERAGE POINT DIFFERENTIAL ADJUSTED FOR STRENGTH OF SCHEDULE. USING TWO TEAM'S FUNCTIONAL RATINGS WE CAN PREDICT THE EXPECTED POINT DIFFERENTIAL AT ANY TIME IN THE GAME. WE LOOKED AT THREE VARIATIONS OF OUR MODEL ACCOUNTING FOR HOME-COURT ADVANTAGE IN DIFFERENT WAYS. WE USE THE 2018-2019 NCAA DIVISION 1 MEN'S COLLEGE BASKETBALL SEASON TO TEST THE MODELS AND DETERMINED THAT HOME-COURT ADVANTAGE IS STATISTICALLY IMPORTANT BUT DOES NOT DIFFER BETWEEN TEAMS."
"WOO Y, 2020, SUSTAINABILITY";"THIS STUDY EXAMINES THE IMPACT OF KOREAN BUSINESS GROUPS, CHAEBOLS, ON THE SPORTING PERFORMANCE OF THEIR AFFILIATED PROFESSIONAL SPORTS TEAMS USING GAME DATA FROM 1983 TO 2013. WE INVESTIGATED WHETHER OR NOT CHAEBOL OWNERSHIP OF PROFESSIONAL SPORTS TEAMS IS MORE EFFICIENT THAN NON-CHAEBOL OWNERSHIP IN ACHIEVING ATHLETIC SUCCESS ON THE FIELD OF PLAY. OUR EMPIRICAL EVIDENCE FOUND THAT THE CHAEBOL-AFFILIATED TEAMS ARE MORE LIKELY TO BE THE LEAGUE WINNERS OR FINALISTS THAN NON-CHAEBOL TEAMS ARE. WE ALSO TESTED THE RELATIONSHIP BETWEEN THE FINANCIAL CRISIS IN THE WIDER ECONOMY THAT DEFLATES FIRM RESOURCES AND ATHLETIC OUTCOMES IN THE AFFILIATED TEAMS. IN THE TESTS, WHICH DIVIDE THE SAMPLE PERIOD INTO THREE 10-YEAR PERIODS, THE RESULTS OF TWO SUB-SAMPLES (1983-1993 AND 2004-2013) WERE IN LINE WITH PREVIOUS RESULTS. WE, HOWEVER, IDENTIFIED AN EXCEPTION WHEN CHAEBOL TEAMS DID NOT PLAY IN MORE FINAL MATCHES OF A LEAGUE BETWEEN 1994 AND 2003, THE TIME INTERVAL THAT INCLUDES THE PERIOD OF DRASTIC RESTRUCTURING OF BUSINESS GROUPS DURING THE 1997 ASIAN FINANCIAL CRISIS."
"HOLZMAYER F, 2020, J BUS RES";"TO BETTER UNDERSTAND HOW EXECUTIVES IMPACT RESOURCE ALLOCATION, WE INVESTIGATE THE THREE UNDERPINNINGS OF DYNAMIC MANAGERIAL CAPABILITIES (DMCS) AS ANTECEDENTS OF RELATED BUSINESS DIVERSIFICATION (RBD) AND HOW THEY INTERACT WITH FIRM RESOURCES TO INFLUENCE RBD. TAKING FOOTBALL AS THE RESEARCH SUBJECT, WE ANALYZE THE JOINT IMPACT OF MANAGERIAL HUMAN CAPITAL, MANAGERIAL SOCIAL CAPITAL, AND MANAGERIAL COGNITION WITHIN THE BOARD OF DIRECTORS OF ENGLISH PREMIER LEAGUE CLUBS. WE RELY ON A UNIQUE 15-YEAR PANEL DATASET AND SHOW THAT MORE SPECIFIC MANAGERIAL HUMAN CAPITAL AND A LONG-TERM ORIENTATION AMONG THE BOARD OF DIRECTORS INCREASE RBD WHILE ADDITIONAL GENERAL MANAGERIAL HUMAN CAPITAL AND MANAGERIAL SOCIAL CAPITAL DIMINISH RBD. IN ADDITION, OUR FINDINGS REVEAL THAT DMCS MODERATE THE RELATIONSHIPS OF PHYSICAL AND FINANCIAL RESOURCES WITH RBD IN DIFFERENT DIRECTIONS. OUR STUDY IS AMONGST THE FIRST TO ANALYZE ALL THREE UNDERPINNINGS OF DMCS AND TO ENDORSE THE PRACTICAL RELEVANCE OF DMCS FOR RBD."
